"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",10119493,10119658,166,"*","Exon (ENST00000253251.12/10277, exon 8 of 27)",1,10122042,10145039,22998,1,"10277","ENST00000470736.1",-2384
"2","chr1",10171171,10171407,237,"*","Promoter",1,10170956,10180016,9061,1,"10277","ENST00000487244.5",215
"3","chr1",1022562,1022855,294,"*","Intron (ENST00000379370.7/375790, intron 2 of 35)",1,1020123,1056118,35996,1,"375790","ENST00000620552.4",2439
"4","chr1",102963240,102963440,201,"*","Promoter",1,102961745,102962684,940,2,"1301","ENST00000465209.1",-556
"5","chr1",103106868,103107064,197,"*","Intron (ENST00000358392.6/1301, intron 1 of 66)",1,103008473,103108178,99706,2,"1301","ENST00000427239.5",1114
"6","chr1",1044700,1045008,309,"*","Promoter",1,1045399,1046349,951,1,"375790","ENST00000479707.1",-391
"7","chr1",10492718,10492903,186,"*","Intron (ENST00000472851.1/5195, intron 1 of 3)",1,10474982,10623286,148305,1,"5195","ENST00000491661.2",17736
"8","chr1",10497444,10497697,254,"*","Intron (ENST00000472851.1/5195, intron 2 of 3)",1,10474982,10623286,148305,1,"5195","ENST00000491661.2",22462
"9","chr1",10601510,10601703,194,"*","Intron (ENST00000356607.9/5195, intron 4 of 8)",1,10642082,10645076,2995,2,"54897","ENST00000447850.3",43373
"10","chr1",10605913,10606078,166,"*","Intron (ENST00000356607.9/5195, intron 4 of 8)",1,10642082,10645076,2995,2,"54897","ENST00000447850.3",38998
"11","chr1",10677830,10678071,242,"*","Intron (ENST00000377022.8/54897, intron 4 of 20)",1,10660737,10693912,33176,2,"54897","ENST00000478728.2",15841
"12","chr1",108692742,108692982,241,"*","Promoter",1,108692341,108701803,9463,1,"55119","ENST00000370021.1",401
"13","chr1",109621481,109621687,207,"*","Promoter",1,109621346,109632044,10699,1,"271","ENST00000527846.7",135
"14","chr1",110035419,110035584,166,"*","Promoter",1,110034632,110054641,20010,1,"85369","ENST00000485775.5",787
"15","chr1",110066906,110067304,399,"*","Intron (ENST00000473429.5/85369, intron 12 of 13)",1,110060397,110064924,4528,2,"257","ENST00000649954.1",-1982
"16","chr1",110156132,110156424,293,"*","Intron (ENST00000331565.5/388662, intron 1 of 11)",1,110150494,110202202,51709,1,"388662","ENST00000331565.5",5638
"17","chr1",11043385,11043759,375,"*","Promoter",1,11037693,11043198,5506,2,"10747","ENST00000478645.1",-187
"18","chr1",11112688,11112863,176,"*","3' UTR",1,11107285,11114629,7345,2,"2475","ENST00000473471.5",1766
"19","chr1",111727601,111727823,223,"*","Exon (ENST00000357260.6/55924, exon 2 of 2)",1,111727344,111739253,11910,2,"55924","ENST00000527621.1",11430
"20","chr1",11232313,11232499,187,"*","Exon (ENST00000703140.1/2475, exon 14 of 56)",1,11245127,11247904,2778,2,"2475","ENST00000703144.1",15405
"21","chr1",112467001,112467247,247,"*","Promoter",1,112467434,112530165,62732,1,"7482","ENST00000369686.9",-187
"22","chr1",112699495,112699868,374,"*","Promoter",1,112699687,112700725,1039,1,"4343","ENST00000494319.1",0
"23","chr1",112907507,112907672,166,"*","Distal Intergenic",1,112918018,112922392,4375,2,"6566","ENST00000481750.1",14720
"24","chr1",112950530,112950874,345,"*","Intron (ENST00000369626.8/6566, intron 1 of 4)",1,112916206,112955994,39789,2,"6566","ENST00000679846.1",5120
