"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",100038001,100038465,465,"*","Promoter",1,100038095,100083377,45283,1,"64645","ENST00000370152.8",0
"2","chr1",100132525,100132896,372,"*","Promoter",1,100083570,100132930,49361,2,"163786","ENST00000287482.6",34
"3","chr1",100147860,100148394,535,"*","Exon (ENST00000370141.8/54482, exon 10 of 11)",1,100142907,100144351,1445,1,"54482","ENST00000493651.1",4953
"4","chr1",100248912,100249894,983,"*","Promoter",1,100186919,100249834,62916,2,"1629","ENST00000370132.8",0
"5","chr1",10032986,10034014,1029,"*","Promoter",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",0
"6","chr1",10034528,10034861,334,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",1254
"7","chr1",100350857,100352137,1281,"*","Promoter",1,100351698,100499460,147763,1,"8556","ENST00000644676.1",0
"8","chr1",100410914,100411382,469,"*","Intron (ENST00000644844.1/8556, intron 4 of 15)",1,100423732,100443114,19383,1,"8556","ENST00000469387.1",-12350
"9","chr1",10085166,10085486,321,"*","Intron (ENST00000253251.12/10277, intron 2 of 26)",1,10100861,10103185,2325,1,"10277","ENST00000462658.1",-15375
"10","chr1",100894905,100895934,1030,"*","Promoter",1,100872372,100895179,22808,2,"2135","ENST00000535414.5",0
"11","chr1",100949720,100950147,428,"*","Intron (ENST00000370112.8/148867, intron 8 of 11)",1,100961828,100972658,10831,1,"148867","ENST00000370111.4",-11681
"12","chr1",100952763,100953351,589,"*","Intron (ENST00000370112.8/148867, intron 8 of 11)",1,100961828,100972658,10831,1,"148867","ENST00000370111.4",-8477
"13","chr1",1012910,1013346,437,"*","Promoter",1,1013497,1014540,1044,1,"9636","ENST00000649529.1",-151
"14","chr1",101380012,101380476,465,"*","Intron (ENST00000444327.1/104355286, intron 1 of 1)",1,101350049,101390303,40255,1,"104355286","ENST00000444327.1",29963
"15","chr1",101653936,101654275,340,"*","Intron (ENST00000668955.1/105378872, intron 2 of 3)",1,101639586,101787572,147987,1,"105378872","ENST00000635702.1",14350
"16","chr1",103250354,103251017,664,"*","Distal Intergenic",1,103001079,103108872,107794,2,"1301","ENST00000645458.1",-141482
"17","chr1",103457985,103458417,433,"*","Intron (ENST00000662345.1/101928436, intron 1 of 3)",1,103415980,103525504,109525,2,"101928436","ENST00000662345.1",67087
"18","chr1",103525612,103526591,980,"*","Promoter",1,103525691,103553343,27653,1,"55599","ENST00000524631.5",0
"19","chr1",10387612,10388235,624,"*","Distal Intergenic",1,10398592,10411552,12961,1,"5226","ENST00000491493.5",-10357
"20","chr1",105452763,105453137,375,"*","Distal Intergenic",1,105590039,105606003,15965,2,"101928476","ENST00000623447.3",152866
"21","chr1",106746709,106747672,964,"*","Distal Intergenic",1,106818224,106851312,33089,1,"105378889","ENST00000659929.1",-70552
"22","chr1",107195521,107196518,998,"*","Intron (ENST00000370073.6/22854, intron 2 of 7)",1,107148594,107480840,332247,1,"22854","ENST00000370066.5",46927
"23","chr1",107256433,107256793,361,"*","Intron (ENST00000370073.6/22854, intron 2 of 7)",1,107260803,107334023,73221,1,"22854","ENST00000477948.1",-4010
"24","chr1",107936665,107937449,785,"*","Intron (ENST00000370056.9/10451, intron 1 of 26)",1,107770659,107963500,192842,2,"10451","ENST00000530671.1",26051
"25","chr1",108692041,108693351,1311,"*","Promoter",1,108692310,108702928,10619,1,"55119","ENST00000370025.9",0
"26","chr1",108703880,108704170,291,"*","Distal Intergenic",1,108697700,108699385,1686,1,"55119","ENST00000485810.1",6180
"27","chr1",108746741,108747225,485,"*","Promoter",1,108746682,108753201,6520,1,"6814","ENST00000469338.1",59
"28","chr1",108816022,108816351,330,"*","3' UTR",1,108815898,108817454,1557,2,"254268","ENST00000466413.1",1103
"29","chr1",108816596,108817021,426,"*","Promoter",1,108815898,108817454,1557,2,"254268","ENST00000466413.1",433
"30","chr1",108947175,108947503,329,"*","Promoter",1,108929980,108947702,17723,2,"23155","ENST00000369976.6",199
"31","chr1",108947608,108948700,1093,"*","Promoter",1,108925924,108947954,22031,2,"23155","ENST00000690707.1",0
"32","chr1",109076038,109076578,541,"*","Promoter",1,109064463,109076012,11550,2,"6884","ENST00000692048.1",-26
"33","chr1",109080016,109080350,335,"*","Distal Intergenic",1,109064463,109076012,11550,2,"6884","ENST00000692048.1",-4004
"34","chr1",109090894,109091394,501,"*","Promoter",1,109090806,109093776,2971,1,"56900","ENST00000473828.1",88
"35","chr1",109229332,109229787,456,"*","Exon (ENST00000234677.7/6301, exon 4 of 11)",1,109231158,109235431,4274,1,"6301","ENST00000471705.1",-1371
"36","chr1",109230245,109230804,560,"*","Promoter",1,109231158,109235431,4274,1,"6301","ENST00000471705.1",-354
"37","chr1",109238869,109239294,426,"*","Distal Intergenic",1,109236231,109238169,1939,1,"6301","ENST00000468588.1",2638
"38","chr1",109283306,109284173,868,"*","Promoter",1,109279565,109283186,3622,2,"84722","ENST00000409138.6",-120
"39","chr1",109383117,109384004,888,"*","Intron (ENST00000538502.5/6272, intron 1 of 19)",1,109350947,109389899,38953,2,"6272","ENST00000493736.5",5895
"40","chr1",109398239,109399126,888,"*","Promoter",1,109309575,109397918,88344,2,"6272","ENST00000256637.8",-321
"41","chr1",109425839,109426393,555,"*","Promoter",1,109401850,109426132,24283,2,"5686","ENST00000490870.5",0
"42","chr1",109546792,109547195,404,"*","3' UTR",1,109548615,109600195,51581,1,"2773","ENST00000369851.7",-1420
"43","chr1",109563666,109565411,1746,"*","Intron (ENST00000369851.7/2773, intron 1 of 8)",1,109548615,109600195,51581,1,"2773","ENST00000369851.7",15051
"44","chr1",110003496,110004674,1179,"*","Promoter",1,110004131,110022389,18259,1,"10768","ENST00000359172.3",0
"45","chr1",11012320,11012899,580,"*","Promoter",1,11012344,11020489,8146,1,"23435","ENST00000473118.5",0
"46","chr1",110337767,110339259,1493,"*","Promoter",1,110286375,110339171,52797,2,"440600","ENST00000449169.1",0
"47","chr1",11060346,11060678,333,"*","Promoter",1,11056011,11060020,4010,2,"6723","ENST00000459997.1",-326
"48","chr1",110963025,110963951,927,"*","Promoter",1,110947190,110963922,16733,2,"55791","ENST00000369763.5",0
"49","chr1",110964217,110964703,487,"*","Promoter",1,110947222,110963965,16744,2,"55791","ENST00000485275.2",-252
"50","chr1",111139188,111140087,900,"*","Promoter",1,111139479,111184816,45338,1,"10390","ENST00000700750.1",0
