"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",1000607,1000939,333,"*","Promoter",1,1001138,1014540,13403,1,"9636","ENST00000624697.4",-199
"2","chr1",1000993,1001321,329,"*","Promoter",1,1001138,1014540,13403,1,"9636","ENST00000624697.4",0
"3","chr1",1004583,1004826,244,"*","Intron (ENST00000624697.4/9636, intron 1 of 2)",1,1001145,1014435,13291,1,"9636","ENST00000624652.1",3438
"4","chr1",100536835,100537233,399,"*","Promoter",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",-906
"5","chr1",100537959,100538185,227,"*","Promoter",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",0
"6","chr1",100538954,100539367,414,"*","Promoter",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",815
"7","chr1",100539957,100540743,787,"*","3' UTR",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",1818
"8","chr1",100541110,100541507,398,"*","3' UTR",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",2971
"9","chr1",100541677,100542168,492,"*","3' UTR",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",3538
"10","chr1",100701744,100702016,273,"*","Distal Intergenic",1,100719742,100738613,18872,1,"7412","ENST00000370119.8",-17726
"11","chr1",100754512,100754804,293,"*","Distal Intergenic",1,100719764,100739038,19275,1,"7412","ENST00000370115.1",34748
"12","chr1",100860130,100860452,323,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",34212
"13","chr1",100860715,100860925,211,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",33739
"14","chr1",101583298,101583508,211,"*","Distal Intergenic",1,101639509,101729536,90028,1,"105378872","ENST00000668955.1",-56001
"15","chr1",101605544,101605754,211,"*","Distal Intergenic",1,101639509,101729536,90028,1,"105378872","ENST00000668955.1",-33755
"16","chr1",101739083,101739330,248,"*","Intron (ENST00000648951.1/105378872, intron 5 of 9)",1,101803486,101837029,33544,2,"118427","ENST00000536598.1",97699
"17","chr1",101846804,101847014,211,"*","Promoter",1,101803486,101846973,43488,2,"118427","ENST00000338858.9",0
"18","chr1",103106765,103107104,340,"*","Intron (ENST00000358392.6/1301, intron 1 of 66)",1,103008473,103108178,99706,2,"1301","ENST00000427239.5",1074
"19","chr1",103108113,103108643,531,"*","Promoter",1,102876467,103108496,232030,2,"1301","ENST00000358392.6",0
"20","chr1",107140910,107141222,313,"*","Promoter",1,107140927,107410585,269659,1,"22854","ENST00000294649.8",0
"21","chr1",10716756,10717103,348,"*","Intron (ENST00000377022.8/54897, intron 2 of 20)",1,10704196,10705575,1380,2,"54897","ENST00000472814.1",-11181
"22","chr1",10771811,10772028,218,"*","Intron (ENST00000377022.8/54897, intron 1 of 20)",1,10636604,10796646,160043,2,"54897","ENST00000377022.8",24618
"23","chr1",10791289,10791696,408,"*","Intron (ENST00000377022.8/54897, intron 1 of 20)",1,10636604,10796646,160043,2,"54897","ENST00000377022.8",4950
"24","chr1",10795247,10795521,275,"*","Intron (ENST00000377022.8/54897, intron 1 of 20)",1,10636604,10796646,160043,2,"54897","ENST00000377022.8",1125
"25","chr1",108059307,108059763,457,"*","Promoter",1,108059044,108074518,15475,1,"107985124","ENST00000634935.1",263
"26","chr1",108087912,108088233,322,"*","Distal Intergenic",1,108072371,108074493,2123,1,"107985124","ENST00000451023.1",15541
"27","chr1",108126412,108126668,257,"*","Distal Intergenic",1,108072371,108074493,2123,1,"107985124","ENST00000451023.1",54041
"28","chr1",108198141,108198372,232,"*","Intron (ENST00000565488.6/29957, intron 1 of 9)",1,108134820,108200279,65460,2,"29957","ENST00000264128.13",1907
