"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",1000176,1000852,677,"*","Promoter",1,998962,1000172,1211,2,"57801","ENST00000428771.6",-4
"2","chr1",100036699,100040848,4150,"*","Promoter",1,100038095,100083377,45283,1,"64645","ENST00000370152.8",0
"3","chr1",100050120,100050608,489,"*","Intron (ENST00000638968.1/64645, intron 10 of 19)",1,100058671,100062115,3445,1,"64645","ENST00000421661.1",-8063
"4","chr1",100131467,100134391,2925,"*","Promoter",1,100083563,100132955,49393,2,"163786","ENST00000462159.1",0
"5","chr1",100248853,100250530,1678,"*","Promoter",1,100186919,100249834,62916,2,"1629","ENST00000370132.8",0
"6","chr1",100265155,100267592,2438,"*","Promoter",1,100251528,100266179,14652,2,"100506007","ENST00000650038.1",0
"7","chr1",10032945,10035083,2139,"*","Promoter",1,10032958,10181239,148282,1,"10277","ENST00000343090.11",0
"8","chr1",100350862,100354020,3159,"*","Promoter",1,100351698,100499460,147763,1,"8556","ENST00000644676.1",0
"9","chr1",10035148,10035595,448,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",1874
"10","chr1",100354646,100355108,463,"*","Intron (ENST00000644844.1/8556, intron 2 of 15)",1,100352949,100518293,165345,1,"8556","ENST00000644813.1",1697
"11","chr1",10064155,10064809,655,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",30881
"12","chr1",100721305,100721914,610,"*","Intron (ENST00000370119.8/7412, intron 2 of 8)",1,100719764,100739038,19275,1,"7412","ENST00000370115.1",1541
"13","chr1",100836119,100836544,426,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",58120
"14","chr1",100847426,100847676,251,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",46988
"15","chr1",100893382,100897914,4533,"*","Promoter",1,100896076,100981753,85678,1,"148867","ENST00000370112.8",0
"16","chr1",101024545,101027155,2611,"*","Promoter",1,101025844,101087261,61418,1,"102606465","ENST00000451213.2",0
"17","chr1",101235385,101237940,2556,"*","Promoter",1,101234555,101236624,2070,2,"101928370","ENST00000432195.2",0
"18","chr1",101238086,101238784,699,"*","Promoter",1,101238090,101241372,3283,1,"1901","ENST00000475289.2",0
"19","chr1",1012945,1013743,799,"*","Promoter",1,1013497,1014540,1044,1,"9636","ENST00000649529.1",0
"20","chr1",1020150,1022313,2164,"*","Promoter",1,1020123,1056118,35996,1,"375790","ENST00000620552.4",27
"21","chr1",10209613,10210412,800,"*","Promoter",1,10210570,10308597,98028,1,"23095","ENST00000377093.9",-158
"22","chr1",10210868,10212597,1730,"*","Promoter",1,10211616,10381603,169988,1,"23095","ENST00000377086.5",0
"23","chr1",1024788,1025596,809,"*","Intron (ENST00000379370.7/375790, intron 2 of 35)",1,1020123,1056118,35996,1,"375790","ENST00000620552.4",4665
"24","chr1",102628072,102628801,730,"*","Distal Intergenic",1,102763322,102853842,90521,2,"112268286","ENST00000414418.1",225041
"25","chr1",102774581,102775201,621,"*","Intron (ENST00000414418.1/112268286, intron 2 of 6)",1,102763322,102853842,90521,2,"112268286","ENST00000414418.1",78641
"26","chr1",102880025,102880807,783,"*","Promoter",1,102877717,102880018,2302,2,"1301","ENST00000470170.1",-7
"27","chr1",102886633,102887304,672,"*","3' UTR",1,102877700,102884585,6886,2,"1301","ENST00000639098.1",-2048
"28","chr1",103106452,103107155,704,"*","Intron (ENST00000358392.6/1301, intron 1 of 66)",1,103008473,103108178,99706,2,"1301","ENST00000427239.5",1023
"29","chr1",103524641,103525448,808,"*","Promoter",1,103415980,103525504,109525,2,"101928436","ENST00000662345.1",56
"30","chr1",103525674,103527652,1979,"*","Promoter",1,103525691,103553343,27653,1,"55599","ENST00000524631.5",0
"31","chr1",10398200,10398865,666,"*","Promoter",1,10398592,10411552,12961,1,"5226","ENST00000491493.5",0
"32","chr1",10398987,10400306,1320,"*","Promoter",1,10399044,10400008,965,1,"5226","ENST00000487775.1",0
"33","chr1",10430393,10431558,1166,"*","Promoter",1,10430435,10451411,20977,1,"100526739","ENST00000602787.6",0
"34","chr1",10471245,10473130,1886,"*","Promoter",1,10456522,10472529,16008,2,"1676","ENST00000377038.8",0
"35","chr1",10474610,10476227,1618,"*","Promoter",1,10474950,10630758,155809,1,"5195","ENST00000356607.9",0
"36","chr1",10530607,10531311,705,"*","Intron (ENST00000472851.1/5195, intron 3 of 3)",1,10535888,10536289,402,1,"5195","ENST00000492696.1",-4577
"37","chr1",1058829,1060092,1264,"*","Promoter",1,1059687,1066449,6763,1,"100288175","ENST00000688131.1",0
"38","chr1",10635089,10635437,349,"*","Distal Intergenic",1,10642082,10645076,2995,2,"54897","ENST00000447850.3",9639
"39","chr1",10636210,10636415,206,"*","Distal Intergenic",1,10642082,10645076,2995,2,"54897","ENST00000447850.3",8661
"40","chr1",10693395,10694138,744,"*","Promoter",1,10660737,10693912,33176,2,"54897","ENST00000478728.2",0
"41","chr1",10694242,10694500,259,"*","Promoter",1,10652984,10694479,41496,2,"54897","ENST00000496432.6",0
"42","chr1",107056172,107058083,1912,"*","Promoter",1,107056674,107059294,2621,1,"55170","ENST00000370078.2",0
"43","chr1",107140139,107141266,1128,"*","Promoter",1,107140927,107410585,269659,1,"22854","ENST00000294649.8",0
"44","chr1",107141577,107142559,983,"*","Promoter",1,107141369,107148807,7439,1,"22854","ENST00000462149.1",208
"45","chr1",107572833,107573228,396,"*","3' UTR",1,107596295,107673649,77355,2,"10451","ENST00000529033.5",100421
"46","chr1",107677731,107678419,689,"*","Promoter",1,107572950,107678009,105060,2,"10451","ENST00000525460.5",0
"47","chr1",107682338,107682962,625,"*","Intron (ENST00000370056.9/10451, intron 19 of 26)",1,107617567,107685952,68386,2,"10451","ENST00000533398.5",2990
"48","chr1",107686708,107687701,994,"*","Promoter",1,107617567,107685952,68386,2,"10451","ENST00000533398.5",-756
"49","chr1",107687809,107688506,698,"*","Promoter",1,107572848,107688504,115657,2,"10451","ENST00000529413.5",0
"50","chr1",10793047,10796717,3671,"*","Promoter",1,10636604,10796646,160043,2,"54897","ENST00000377022.8",0
"51","chr1",107963677,107964856,1180,"*","Promoter",1,107964443,107994607,30165,1,"100873946","ENST00000438318.1",0
"52","chr1",107965323,107966124,802,"*","Promoter",1,107571161,107965180,394020,2,"10451","ENST00000370056.9",-143
"53","chr1",10803037,10803629,593,"*","Distal Intergenic",1,10647213,10796650,149438,2,"54897","ENST00000344008.5",-6387
"54","chr1",108198374,108200231,1858,"*","Promoter",1,108134820,108200279,65460,2,"29957","ENST00000264128.13",48
"55","chr1",108200334,108201241,908,"*","Promoter",1,108134043,108200343,66301,2,"29957","ENST00000565488.6",0
"56","chr1",10824775,10825112,338,"*","Distal Intergenic",1,10647213,10796650,149438,2,"54897","ENST00000344008.5",-28125
"57","chr1",108559509,108559986,478,"*","Promoter",1,108560089,108644900,84812,1,"284611","ENST00000405454.1",-103
"58","chr1",108560339,108561118,780,"*","Promoter",1,108560100,108639322,79223,1,"284611","ENST00000370035.8",239
"59","chr1",108660935,108661818,884,"*","Promoter",1,108661533,108666246,4714,1,"105378890","ENST00000648569.1",0
"60","chr1",10867363,10867672,310,"*","Distal Intergenic",1,10647213,10796650,149438,2,"54897","ENST00000344008.5",-70713
"61","chr1",108691074,108695715,4642,"*","Promoter",1,108692310,108702928,10619,1,"55119","ENST00000370025.9",0
"62","chr1",108746657,108748129,1473,"*","Promoter",1,108746674,108757005,10332,1,"6814","ENST00000483586.5",0
"63","chr1",108815779,108816462,684,"*","Promoter",1,108815898,108817454,1557,2,"254268","ENST00000466413.1",992
"64","chr1",108816621,108817130,510,"*","Promoter",1,108815898,108817454,1557,2,"254268","ENST00000466413.1",324
"65","chr1",108876488,108879537,3050,"*","Promoter",1,108876960,108903759,26800,1,"29899","ENST00000675829.1",0
"66","chr1",108880912,108881609,698,"*","Intron (ENST00000406462.6/29899, intron 2 of 15)",1,108884821,108930377,45557,1,"29899","ENST00000446797.2",-3212
"67","chr1",108962254,108964080,1827,"*","Promoter",1,108881885,108963475,81591,2,"23155","ENST00000690509.1",0
"68","chr1",10900552,10900813,262,"*","Distal Intergenic",1,10946475,10947870,1396,2,"148345","ENST00000468348.1",47057
"69","chr1",109040054,109042140,2087,"*","Promoter",1,108970214,109041986,71773,2,"22911","ENST00000400794.7",0
"70","chr1",109042361,109042712,352,"*","Promoter",1,108970214,109042113,71900,2,"22911","ENST00000369965.8",-248
"71","chr1",109074882,109076511,1630,"*","Promoter",1,109062496,109076007,13512,2,"6884","ENST00000461096.7",0
"72","chr1",109089555,109092255,2701,"*","Promoter",1,109090764,109096934,6171,1,"56900","ENST00000338272.9",0
"73","chr1",109099763,109100012,250,"*","Promoter",1,109100193,109100612,420,1,"677766","ENST00000458748.1",-181
"74","chr1",109100141,109101397,1257,"*","Promoter",1,109100193,109100612,420,1,"677766","ENST00000458748.1",0
"75","chr1",109197804,109198160,357,"*","3' UTR",1,109200191,109203123,2933,1,"57535","ENST00000527501.1",-2031
"76","chr1",109213498,109215825,2328,"*","Promoter",1,109213918,109238182,24265,1,"6301","ENST00000234677.7",0
"77","chr1",109250061,109250458,398,"*","Promoter",1,109249539,109275751,26213,1,"1952","ENST00000271332.4",522
"78","chr1",109273297,109276187,2891,"*","3' UTR",1,109270824,109275607,4784,1,"1952","ENST00000498157.1",2473
"79","chr1",109281936,109284081,2146,"*","Promoter",1,109279556,109283115,3560,2,"84722","ENST00000369904.7",0
"80","chr1",109370638,109370950,313,"*","Intron (ENST00000538502.5/6272, intron 1 of 19)",1,109368478,109369589,1112,2,"6272","ENST00000495777.5",-1049
"81","chr1",109396899,109397420,522,"*","Promoter",1,109369530,109397861,28332,2,"6272","ENST00000471996.1",441
"82","chr1",109398028,109398561,534,"*","Promoter",1,109309575,109397918,88344,2,"6272","ENST00000256637.8",-110
"83","chr1",109425084,109426483,1400,"*","Promoter",1,109399042,109426448,27407,2,"5686","ENST00000271308.9",0
"84","chr1",109426566,109427616,1051,"*","Promoter",1,109399042,109426448,27407,2,"5686","ENST00000271308.9",-118
"85","chr1",109483337,109483743,407,"*","Promoter",1,109483479,109492704,9226,1,"127002","ENST00000463678.5",0
"86","chr1",109483948,109485142,1195,"*","Promoter",1,109483954,109492777,8824,1,"127002","ENST00000604728.6",0
"87","chr1",109493873,109494739,867,"*","Promoter",1,109494052,109496272,2221,1,"284613","ENST00000393709.3",0
"88","chr1",109509835,109510202,368,"*","Promoter",1,109507068,109509738,2671,2,"57463","ENST00000369862.1",-97
"89","chr1",109546571,109550432,3862,"*","Promoter",1,109548615,109600195,51581,1,"2773","ENST00000369851.7",0
"90","chr1",109570218,109570773,556,"*","Intron (ENST00000369851.7/2773, intron 1 of 8)",1,109548615,109600195,51581,1,"2773","ENST00000369851.7",21603
"91","chr1",109619373,109621462,2090,"*","Promoter",1,109619504,109630406,10903,1,"271","ENST00000655992.1",0
"92","chr1",109655686,109656570,885,"*","Promoter",1,109656099,109661700,5602,1,"2948","ENST00000369836.9",0
"93","chr1",109739791,109740609,819,"*","Promoter",1,109733932,109740516,6585,2,"2947","ENST00000256594.7",0
"94","chr1",109910264,109910987,724,"*","Promoter",1,109910506,109921913,11408,1,"1435","ENST00000525659.5",0
"95","chr1",109911193,109912188,996,"*","Promoter",1,109910986,109925198,14213,1,"1435","ENST00000369801.1",207
"96","chr1",109984732,109986681,1950,"*","Promoter",1,109984765,110023741,38977,1,"10768","ENST00000393614.8",0
"97","chr1",110004131,110005196,1066,"*","Promoter",1,110004131,110022389,18259,1,"10768","ENST00000359172.3",0
"98","chr1",110033881,110035996,2116,"*","Promoter",1,110034624,110054641,20018,1,"85369","ENST00000369795.8",0
"99","chr1",11011625,11014306,2682,"*","Promoter",1,11012344,11020489,8146,1,"23435","ENST00000473118.5",0
"100","chr1",110209798,110210083,286,"*","Promoter",1,110208834,110209987,1154,2,"100873974","ENST00000455967.1",0
"101","chr1",110210363,110210676,314,"*","Promoter",1,110210314,110234044,23731,1,"3749","ENST00000438661.3",49
"102","chr1",110210743,110212020,1278,"*","Promoter",1,110211343,110224083,12741,1,"3749","ENST00000489935.1",0
"103","chr1",110337291,110339184,1894,"*","Promoter",1,110286375,110339171,52797,2,"440600","ENST00000449169.1",0
"104","chr1",110339372,110340773,1402,"*","Promoter",1,110339377,110346677,7301,1,"64783","ENST00000369784.9",0
"105","chr1",110342011,110344282,2272,"*","3' UTR",1,110339466,110346677,7212,1,"64783","ENST00000617047.1",2545
